,hlasy abs,hlasy procenta,mandat,navrhujici strana,politicka prislusnost,poradi ve strane,poradi zvoleni,prijmeni jmeno,rok,strana cislo,strana nazev,tituly,vek
0,2 749,2.8,0,SOS,BEZPP,15,12.0,Absolonová Kateřina,2002,11,Str.pro otevřenou společnost,MUDr.,36
1,188,2.07,0,N,BEZPP,20,,Adam Lubomír,2002,7,Naděje,,33
2,487,5.38,0,N,BEZPP,2,,Apltauer Jan,2002,7,Naděje,Ing.,27
3,2 320,3.27,0,USZ,USZ,3,4.0,Bahníková Štefania,2002,14,Unie pro sport a zdraví,Ing.,49
4,1 905,2.69,0,USZ,USZ,11,9.0,Bachtík Jan,2002,14,Unie pro sport a zdraví,,68
5,105,3.65,0,PB,BEZPP,14,,Balvirčáková Blanka,2002,13,Pravý Blok,,20
6,1 336,2.21,0,DRS,DRS,27,24.0,Bartoš Jan,2002,3,Demokratická regionální strana,,58
7,114,3.96,0,PB,BEZPP,12,,Bartoš Petr,2002,13,Pravý Blok,,54
8,739,2.08,0,KDU-ČSL,KDU-ČSL,31,,Bartošová Irena,2002,5,Křesť.demokr.unie-Čs.str.lid.,Ing.,46
9,118,4.1,0,PB,BEZPP,10,,Bartošová Sylvie,2002,13,Pravý Blok,,47
10,1 426,2.64,0,US-DEU,BEZPP,17,16.0,Bařinka Jaroslav,2002,16,Unie svobody-Demokratická unie,Ing.,61
11,1 700,2.82,0,DRS,BEZPP,9,7.0,Bečvářová Alexandra,2002,3,Demokratická regionální strana,PaedDr.,46
12,1 636,1.67,0,SOS,BEZPP,38,34.0,Bednaříková Olga Marie,2002,11,Str.pro otevřenou společnost,,51
13,2 971,2.8,1,KSČM,KSČM,4,4.0,Bělohlávek Jiří,2002,9,Komunistická str.Čech a Moravy,,52
14,3 820,2.46,0,ČSSD,ČSSD,27,20.0,Bělochová Šárka,2002,10,Česká str.sociálně demokrat.,,19
15,1 317,1.85,0,USZ,BEZPP,36,33.0,Bělonožník Miloslav,2002,14,Unie pro sport a zdraví,,84
16,344,1.77,0,HNHRM,BEZPP,37,,Berčo Martin,2002,8,Hn.za harm.rozvoj obcí a měst,,35
17,7 426,2.71,1,ODS,ODS,9,10.0,Bernát Pavel,2002,4,Občanská demokratická strana,Ing.,41
18,316,10.99,0,PB,BEZPP,2,,Bernkopf Tomáš,2002,13,Pravý Blok,,43
19,412,2.12,0,HNHRM,BEZPP,13,,Bezouška Jiří,2002,8,Hn.za harm.rozvoj obcí a měst,,51
20,1 764,1.8,0,SOS,SŽJ,36,32.0,Biňovcová Mária,2002,11,Str.pro otevřenou společnost,,66
21,101,2.99,0,SOP,BEZPP,8,,Blažek František,2002,6,Strana občanského porozumění,,56
22,861,2.04,0,VPM,BEZPP,28,,Blažek Pavel,2002,1,Volba pro město,,45
23,2 193,2.24,0,SOS,BEZPP,29,25.0,Bobková Ivana,2002,11,Str.pro otevřenou společnost,,45
24,93,6.34,0,RMS,RMS,9,,Bock Miroslav,2002,2,Republikáni Miroslava Sládka,,24
25,1 075,1.99,0,US-DEU,US-DEU,34,32.0,Boháček Jiří,2002,16,Unie svobody-Demokratická unie,,22
26,2 557,2.61,0,SOS,BEZPP,7,6.0,Böhm Marian,2002,11,Str.pro otevřenou společnost,Ing.,23
27,2 674,2.52,0,KSČM,BEZPP,19,14.0,Böhm Miroslav,2002,9,Komunistická str.Čech a Moravy,,44
28,972,1.91,0,NEZ,BEZPP,20,18.0,Bondyová Marie,2002,15,NEZÁVISLÍ,,53
29,1 044,2.47,0,VPM,BEZPP,9,,Bouzková Věra,2002,1,Volba pro město,,51
30,1 214,2.24,0,US-DEU,US-DEU,26,24.0,Brada Marek,2002,16,Unie svobody-Demokratická unie,,25
31,1 095,5.64,0,HNHRM,BEZPP,2,,Brožová Petra,2002,8,Hn.za harm.rozvoj obcí a měst,Ing.,42
32,248,2.74,0,N,BEZPP,7,,Břinčilová Lada,2002,7,Naděje,,27
33,2 889,2.72,1,KSČM,KSČM,5,5.0,Bubník Oldřich,2002,9,Komunistická str.Čech a Moravy,Ing.,62
34,1 390,2.73,0,NEZ,BEZPP,14,13.0,Budínová Lea,2002,15,NEZÁVISLÍ,MUDr.,48
35,1 117,2.06,0,US-DEU,US-DEU,32,30.0,Bukač David,2002,16,Unie svobody-Demokratická unie,,23
36,976,1.8,0,US-DEU,BEZPP,37,35.0,Bukač Lukáš,2002,16,Unie svobody-Demokratická unie,,20
37,1 866,3.09,0,DRS,DRS,6,4.0,Bureš Jaroslav,2002,3,Demokratická regionální strana,Ing.,41
38,1 199,2.36,0,NEZ,NEZ,11,10.0,Bureš Jaroslav,2002,15,NEZÁVISLÍ,,41
39,939,1.84,0,NEZ,BEZPP,32,30.0,Buriánek Prokop,2002,15,NEZÁVISLÍ,,58
40,293,8.3,0,SSS,SSS,3,,Bůta Vladimír,2002,12,Strana svobodných severu,PaedDr.,45
41,6 529,2.39,0,ODS,ODS,32,19.0,Cerman Marek,2002,4,Občanská demokratická strana,,27
42,114,7.78,0,RMS,RMS,6,,Cihlář Milan,2002,2,Republikáni Miroslava Sládka,,21
43,383,1.97,0,HNHRM,BEZPP,18,,Cimpl Jaroslav,2002,8,Hn.za harm.rozvoj obcí a měst,,31
44,2 045,2.08,0,SOS,BEZPP,33,29.0,Ciprová Marie,2002,11,Str.pro otevřenou společnost,MUDr.,73
45,1 360,2.25,0,DRS,DRS,23,20.0,Cupáková Dana,2002,3,Demokratická regionální strana,Ing.,43
46,1 058,2.98,0,KDU-ČSL,KDU-ČSL,11,,Cvejn Zdeněk,2002,5,Křesť.demokr.unie-Čs.str.lid.,Ing.,47
47,3 063,4.32,1,USZ,US-DEU,4,3.0,Cvrček Stanislav,2002,14,Unie pro sport a zdraví,Mgr.,48
48,2 307,2.35,0,SOS,BEZPP,25,21.0,Cvrček Vladimír,2002,11,Str.pro otevřenou společnost,Mgr.,63
49,1 148,2.12,0,US-DEU,US-DEU,30,28.0,Čajkovič František,2002,16,Unie svobody-Demokratická unie,,21
50,101,2.86,0,SSS,SSS,9,,Čech Jaroslav,2002,12,Strana svobodných severu,Ing.,55
51,2 048,3.4,0,DRS,BEZPP,8,2.0,Čejka Pavel,2002,3,Demokratická regionální strana,MUDr.,43
52,1 309,2.42,0,US-DEU,BEZPP,15,14.0,Černá Miloslava,2002,16,Unie svobody-Demokratická unie,,57
53,432,2.22,0,HNHRM,BEZPP,9,,Černík Ivo,2002,8,Hn.za harm.rozvoj obcí a měst,,58
54,349,1.8,0,HNHRM,BEZPP,39,,Černík Lubor,2002,8,Hn.za harm.rozvoj obcí a měst,,49
55,7 566,2.77,1,ODS,ODS,3,5.0,Červinka Ondřej,2002,4,Občanská demokratická strana,Bc.,25
56,1 000,1.96,0,NEZ,BEZPP,23,21.0,Červinková Alena,2002,15,NEZÁVISLÍ,Ing.,41
57,150,5.21,0,PB,BEZPP,5,,Čeřovská Hana,2002,13,Pravý Blok,,48
58,1 153,2.73,0,VPM,BEZPP,16,,Čeřovský Jakub,2002,1,Volba pro město,,25
59,3 491,5.79,1,DRS,DRS,2,2.0,Čvančara Alois,2002,3,Demokratická regionální strana,Mgr.,57
60,1 071,2.53,0,VPM,BEZPP,11,,Daňková Eva,2002,1,Volba pro město,Ing.,50
61,947,1.75,0,US-DEU,US-DEU,38,36.0,Děkan Rudolf,2002,16,Unie svobody-Demokratická unie,,32
62,1 231,2.27,0,US-DEU,US-DEU,25,23.0,Didi Julius,2002,16,Unie svobody-Demokratická unie,,21
63,2 253,2.3,0,SOS,BEZPP,31,27.0,Dlabola Karel,2002,11,Str.pro otevřenou společnost,,63
64,820,2.31,0,KDU-ČSL,KDU-ČSL,20,,Dlask Miloš,2002,5,Křesť.demokr.unie-Čs.str.lid.,Ing.,31
65,4 188,2.69,0,ČSSD,ČSSD,12,5.0,Doležal Bohumír,2002,10,Česká str.sociálně demokrat.,JUDr.,49
66,399,2.05,0,HNHRM,BEZPP,22,,Dostrašilová Věra,2002,8,Hn.za harm.rozvoj obcí a měst,,38
67,1 352,2.66,0,NEZ,BEZPP,17,15.0,Dräger Martin,2002,15,NEZÁVISLÍ,,49
68,984,1.63,0,DRS,BEZPP,38,35.0,Dragounová Věra,2002,3,Demokratická regionální strana,,50
69,250,2.76,0,N,BEZPP,22,,Duda Martin,2002,7,Naděje,Ing.,40
70,7 400,2.7,1,ODS,ODS,10,11.0,Dufek Michael,2002,4,Občanská demokratická strana,,26
71,1 120,1.85,0,DRS,BEZPP,34,31.0,Dušek Jaroslav,2002,3,Demokratická regionální strana,,41
72,2 546,5.01,0,NEZ,BEZPP,4,3.0,Dušek Ladislav,2002,15,NEZÁVISLÍ,,59
73,3 999,2.57,0,ČSSD,ČSSD,19,12.0,Dušek Petr,2002,10,Česká str.sociálně demokrat.,,32
74,4 270,2.74,0,ČSSD,ČSSD,6,1.0,Dušek Robert,2002,10,Česká str.sociálně demokrat.,,35
75,744,2.09,0,KDU-ČSL,KDU-ČSL,30,,Dvořáček Jiří,2002,5,Křesť.demokr.unie-Čs.str.lid.,,32
76,921,4.75,0,HNHRM,BEZPP,5,,Dvořáková Michaela,2002,8,Hn.za harm.rozvoj obcí a měst,Ing.arch.,42
77,2 457,3.46,0,USZ,US-DEU,9,2.0,Dzan Ladislav,2002,14,Unie pro sport a zdraví,MUDr.,37
78,2 626,2.47,0,KSČM,KSČM,28,23.0,Ebert Vladimír,2002,9,Komunistická str.Čech a Moravy,,56
79,1 293,2.39,0,US-DEU,US-DEU,16,15.0,Edutová Eva,2002,16,Unie svobody-Demokratická unie,,60
80,346,1.78,0,HNHRM,BEZPP,33,,Engerer Jiří,2002,8,Hn.za harm.rozvoj obcí a měst,,42
81,1 247,2.3,0,US-DEU,BEZPP,28,26.0,Erbanová Petra,2002,16,Unie svobody-Demokratická unie,,54
82,1 584,2.23,0,USZ,USZ,22,20.0,Erben Tomáš,2002,14,Unie pro sport a zdraví,,32
83,235,6.97,0,SOP,BEZPP,6,,Faltus Jaroslav,2002,6,Strana občanského porozumění,,56
84,6 976,2.55,0,ODS,ODS,22,9.0,Fejfar Pavel,2002,4,Občanská demokratická strana,,31
85,240,2.65,0,N,BEZPP,10,,Fencka Tomáš,2002,7,Naděje,,31
86,213,2.35,0,N,BEZPP,16,,Fiala Roman,2002,7,Naděje,,34
87,3 258,2.09,0,ČSSD,ČSSD,37,30.0,Fialová Dana,2002,10,Česká str.sociálně demokrat.,Ing.,53
88,398,2.05,0,HNHRM,BEZPP,16,,Fill Pavel,2002,8,Hn.za harm.rozvoj obcí a měst,,24
89,463,2.38,0,HNHRM,BEZPP,23,,Fix Jiří,2002,8,Hn.za harm.rozvoj obcí a měst,,27
90,850,2.01,0,VPM,BEZPP,33,,Flanderková Hana,2002,1,Volba pro město,,20
