,kandid listina,strana nazev,hlasy abs,hlasy procenta,pocet kandidatu,prepocet pocet kandidatu,prepocet procenta hlasu,pocet mandatu,podily hlasu,rok
0,1,Volba pro město,42 205,4.28,38,960 020.30,4.39,0,0,2002
1,2,Republikáni Miroslava Sládka,1 465,0.15,12,303 164.30,0.48,0,0,2002
2,3,Demokratická regionální strana,60 223,6.11,39,985 284.00,6.11,3,1,2002
3,4,Občanská demokratická strana,273 081,27.72,39,985 284.00,27.71,13,1,2002
4,5,Křesť.demokr.unie-Čs.str.lid.,35 474,3.6,39,985 284.00,3.6,0,0,2002
5,6,Strana občanského porozumění,3 370,0.34,20,505 273.84,0.66,0,0,2002
6,7,Naděje,9 041,0.92,39,985 284.00,0.91,0,0,2002
7,8,Hn.za harm.rozvoj obcí a měst,19 386,1.97,39,985 284.00,1.96,0,0,2002
8,9,Komunistická str.Čech a Moravy,105 909,10.75,39,985 284.00,10.74,5,1,2002
9,10,Česká str.sociálně demokrat.,155 273,15.76,39,985 284.00,15.75,7,1,2002
10,11,Str.pro otevřenou společnost,97 869,9.93,39,985 284.00,9.93,4,1,2002
11,12,Strana svobodných severu,3 527,0.36,21,530 537.53,0.66,0,0,2002
12,13,Pravý Blok,2 874,0.29,17,429 482.76,0.66,0,0,2002
13,14,Unie pro sport a zdraví,70 812,7.19,39,985 284.00,7.18,3,1,2002
14,15,NEZÁVISLÍ,50 781,5.15,39,985 284.00,5.15,2,1,2002
15,16,Unie svobody-Demokratická unie,53 994,5.48,39,985 284.00,5.48,2,1,2002
16,1,SNK ED a nezávislí společně,72 106,639.0,39,"1 129 120,00",638.0,2,1,2006
17,2,Strana zelených,127 974,1133.0,39,"1 129 120,00",1133.0,4,1,2006
18,3,Občanská demokratická strana,326 189,2889.0,39,"1 129 120,00",2888.0,12,1,2006
19,4,Unie pro sport a zdraví,102 316,906.0,39,"1 129 120,00",906.0,3,1,2006
20,5,NEZ.DEMOKRATÉ(předs.V.Železný),1 929,17.0,9,"260 566,15",74.0,0,0,2006
21,6,Česká str.sociálně demokrat.,161 564,1431.0,39,"1 129 120,00",1430.0,6,1,2006
22,7,Komunistická str.Čech a Moravy,98 964,876.0,39,"1 129 120,00",876.0,3,1,2006
23,8,SOS pro Liberec,236 848,2098.0,38,"1 100 168,20",2152.0,9,1,2006
24,9,Koruna Česká (monarch.strana),776,7.0,4,"115 807,17",67.0,0,0,2006
25,10,Občanská demokratická aliance,454,4.0,2,"57 903,58",78.0,0,0,2006
26,1,Unie pro sport a zdraví,84 662,696.0,39,"1 217 277,00",695.0,3,1,2010
27,2,Změna pro Liberec,251 179,2063.0,38,"1 186 064,76",2117.0,9,1,2010
28,3,Občanská demokratická strana,215 899,1774.0,39,"1 217 277,00",1773.0,8,1,2010
29,4,Suverenita-blok J.Bobošíkové,23 754,195.0,39,"1 217 277,00",195.0,0,0,2010
30,5,TOP 09,0,0.0,0,000,0.0,0,0,2010
31,6,Věci veřejné,88 437,727.0,39,"1 217 277,00",726.0,3,1,2010
32,7,Demokratická regionální strana,47 456,390.0,39,"1 217 277,00",389.0,0,0,2010
33,8,Česká str.sociálně demokrat.,204 874,1683.0,39,"1 217 277,00",1683.0,7,1,2010
34,9,SOS - Liberecký zastupitel,43 514,357.0,39,"1 217 277,00",357.0,0,0,2010
35,10,Volte Pr.Blok www.cibulka.net,752,6.0,1,"31 212,23",240.0,0,0,2010
36,11,Strana Práv Občanů ZEMANOVCI,9 328,77.0,35,"1 092 428,07",85.0,0,0,2010
37,12,Liberec občanům,163 246,1341.0,39,"1 217 277,00",1341.0,6,1,2010
38,13,Komunistická str.Čech a Moravy,84 176,692.0,39,"1 217 277,00",691.0,3,1,2010
39,1,Nový směr-společná kandidátka,28 259,271.0,39,"1 042 675,00",271.0,0,0,2014
40,2,Česká str.sociálně demokrat.,102 429,982.0,39,"1 042 675,00",982.0,4,1,2014
41,3,Starostové pro Liberecký kraj,172 933,1659.0,39,"1 042 675,00",1658.0,8,1,2014
42,4,Změna pro Liberec,265 450,2546.0,39,"1 042 675,00",2545.0,12,1,2014
43,5,Úsvit přímé demokracie,14 479,139.0,39,"1 042 675,00",138.0,0,0,2014
44,6,KDU-ČSL a nezávislí,23 964,230.0,39,"1 042 675,00",229.0,0,0,2014
45,7,Str.pro otevřenou společnost,6 044,58.0,36,"962 469,23",62.0,0,0,2014
46,8,TOP 09,56 952,546.0,39,"1 042 675,00",546.0,2,1,2014
47,9,Liberec ještě žije,16 293,156.0,39,"1 042 675,00",156.0,0,0,2014
48,10,Strana svobodných občanů,19 909,191.0,39,"1 042 675,00",190.0,0,0,2014
49,11,Komunistická str.Čech a Moravy,58 283,559.0,39,"1 042 675,00",558.0,2,1,2014
50,12,Občanská demokratická strana,52 598,504.0,39,"1 042 675,00",504.0,2,1,2014
51,13,ANO 2011,188 225,1805.0,39,"1 042 675,00",1805.0,9,1,2014
52,14,Strana Práv Občanů,2 016,19.0,35,"935 733,97",21.0,0,0,2014
